herb_canonical,botanical_name,flag_category,flag_note,source_citation,source_url,date_checked
ashwagandha,Withania somnifera,pregnancy,May induce abortion or miscarriage; contraindicated during pregnancy.,NCCIH Herbs at a Glance - Ashwagandha,https://www.nccih.nih.gov/health/ashwagandha,2026-09-19
ashwagandha,Withania somnifera,thyroid,May increase thyroid hormone levels; caution in hyperthyroidism.,MSKCC Integrative Medicine - Ashwagandha,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/ashwagandha,2026-09-19
ashwagandha,Withania somnifera,autoimmune,May stimulate immune system activity; caution in SLE rheumatoid arthritis and MS.,MSKCC Integrative Medicine - Ashwagandha,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/ashwagandha,2026-09-19
ashwagandha,Withania somnifera,cns_depressant_interaction,Additive sedative effects when combined with benzodiazepines or CNS depressants.,LiverTox / NIH Clinical and Research Information,https://www.ncbi.nlm.nih.gov/books/NBK548561/,2026-09-19
ashwagandha,Withania somnifera,hepatic,Rare cases of idiosyncratic drug-induced liver injury reported.,LiverTox / NIH - Ashwagandha,https://www.ncbi.nlm.nih.gov/books/NBK548561/,2026-09-19
ashwagandha,Withania somnifera,surgery,May potentiate anesthesia or CNS depression; stop at least 2 weeks prior to surgery.,American Society of Anesthesiologists Herbal Guidelines,https://www.asahq.org,2026-09-19
guggulu,Commiphora mukul,pregnancy,Uterine stimulant and emmenagogue; strictly contraindicated in pregnancy.,NCCIH - Guggul,https://www.nccih.nih.gov,2026-09-19
guggulu,Commiphora mukul,anticoagulant_interaction,May inhibit platelet aggregation; increased bleeding risk with warfarin/aspirin.,MSKCC - Guggul,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/guggul,2026-09-19
guggulu,Commiphora mukul,thyroid,May stimulate thyroid function; monitor closely with levothyroxine.,MSKCC - Guggul,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/guggul,2026-09-19
guggulu,Commiphora mukul,hepatic,Caution in pre-existing liver disease; metabolised by CYP3A4.,Phytotherapy Research Review (Urizar & Moore 2003),https://pubmed.ncbi.nlm.nih.gov/12836267/,2026-09-19
guggulu,Commiphora mukul,surgery,Increases bleeding risk; discontinue 2 weeks prior to elective surgery.,American College of Surgeons Preop Guidelines,https://www.facs.org,2026-09-19
yashtimadhu,Glycyrrhiza glabra,pregnancy,Glycyrrhizin linked to preterm labor and adverse neurodevelopment.,WHO Monographs on Selected Medicinal Plants Vol 1,https://apps.who.int/iris/handle/10665/42052,2026-09-19
yashtimadhu,Glycyrrhiza glabra,anticoagulant_interaction,High doses alter potassium balance and steroid metabolism affecting cardiac/warfarin therapy.,MSKCC - Licorice,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/licorice,2026-09-19
yashtimadhu,Glycyrrhiza glabra,cns_depressant_interaction,Prolonged use can cause pseudoaldosteronism hypokalemia and hypertension.,NCCIH - Licorice Root,https://www.nccih.nih.gov/health/licorice-root,2026-09-19
yashtimadhu,Glycyrrhiza glabra,surgery,Hypokalemia risk complicates anesthetic management; stop 2 weeks prior.,ASA Herbal Medication Advisory,https://www.asahq.org,2026-09-19
haritaki,Terminalia chebula,pregnancy,Traditional purgative action and vata-aggravating in excess; contraindicated in pregnancy.,Ayurvedic Pharmacopoeia of India (API) Part 1 Vol 1,https://www.ayush.gov.in,2026-09-19
haritaki,Terminalia chebula,anticoagulant_interaction,In vitro tannin-mediated antiplatelet activity; caution with antiplatelet drugs.,Journal of Ethnopharmacology (Prasad et al.),https://pubmed.ncbi.nlm.nih.gov/27012354/,2026-09-19
amalaki,Phyllanthus emblica,anticoagulant_interaction,High Vitamin C and polyphenol content may increase bleeding risk at high therapeutic extracts.,MSKCC - Amla,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/amla,2026-09-19
amalaki,Phyllanthus emblica,surgery,Antiplatelet effects warrant cessation 2 weeks before major surgery.,Natural Medicines Comprehensive Database,https://naturalmedicines.therapeuticresearch.com,2026-09-19
bibhitaki,Terminalia bellirica,pregnancy,Laxative and astringent properties; avoid high therapeutic doses in pregnancy.,Ayurvedic Pharmacopoeia of India Part 1 Vol 2,https://www.ayush.gov.in,2026-09-19
brahmi,Bacopa monnieri,cns_depressant_interaction,May potentiate sedatives antiepileptics and cholinergic agents.,MSKCC - Bacopa,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/bacopa,2026-09-19
brahmi,Bacopa monnieri,thyroid,Animal studies suggest slight elevation of thyroxine levels; monitor in thyroid therapy.,Phytomedicine Journal (Kar et al. 2002),https://pubmed.ncbi.nlm.nih.gov/12046860/,2026-09-19
shatavari,Asparagus racemosus,pregnancy,Phytoestrogenic activity; use only under professional guidance in high risk pregnancy.,WHO Monographs on Selected Medicinal Plants,https://apps.who.int,2026-09-19
shatavari,Asparagus racemosus,autoimmune,Estrogenic and immunomodulatory activity may aggravate hormone-sensitive conditions.,MSKCC - Shatavari,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/asparagus-racemosus,2026-09-19
tulsi,Ocimum sanctum,pregnancy,Antifertility and emmenagogue properties noted in animal studies; avoid concentrated extracts in pregnancy.,Journal of Ethnopharmacology (Singh et al.),https://pubmed.ncbi.nlm.nih.gov/8690975/,2026-09-19
tulsi,Ocimum sanctum,anticoagulant_interaction,Eugenol constituent inhibits platelet aggregation; synergistic with anticoagulants.,MSKCC - Holy Basil,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/holy-basil,2026-09-19
tulsi,Ocimum sanctum,surgery,Prolongs bleeding time; discontinue 2 weeks prior to surgical procedures.,American Society of Anesthesiologists,https://www.asahq.org,2026-09-19
haridra,Curcuma longa,anticoagulant_interaction,Curcumin suppresses platelet aggregation and thrombin; elevates INR with warfarin.,MSKCC - Turmeric,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/turmeric,2026-09-19
haridra,Curcuma longa,hepatic,Reports of idiosyncratic hepatotoxicity with high-bioavailability curcumin supplements.,LiverTox / NIH - Turmeric,https://www.ncbi.nlm.nih.gov/books/NBK548561/,2026-09-19
haridra,Curcuma longa,surgery,Increased surgical bleeding risk; stop high-dose turmeric 2 weeks prior to surgery.,ASA Practice Advisory on Herbal Supplements,https://www.asahq.org,2026-09-19
haridra,Curcuma longa,pregnancy,Emmenagogue and uterine stimulant in concentrated extracts; culinary use safe.,NCCIH - Turmeric,https://www.nccih.nih.gov/health/turmeric,2026-09-19
nimba,Azadirachta indica,pregnancy,Documented abortifacient and spermicidal properties; strictly avoid internally in pregnancy.,API Part 1 Vol 2 / WHO Monographs,https://www.ayush.gov.in,2026-09-19
nimba,Azadirachta indica,autoimmune,Immune-stimulant activity; avoid in autoimmune diseases like rheumatoid arthritis.,MSKCC - Neem,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/neem,2026-09-19
nimba,Azadirachta indica,hepatic,High doses of neem seed oil toxic to liver and kidneys; Reye-like syndrome in infants.,LiverTox / NIH - Neem,https://www.ncbi.nlm.nih.gov/books/NBK548561/,2026-09-19
shilajit,Asphaltum punjabianum,pregnancy,Lack of safety data and heavy-metal contamination risk in unpurified samples; contraindicated.,Ayurvedic Formulary of India (AFI),https://www.ayush.gov.in,2026-09-19
shilajit,Asphaltum punjabianum,hepatic,Unpurified shilajit contains mycotoxins and free radicals causing hepatic strain.,Journal of Ethnopharmacology (Carrasco-Gallardo 2012),https://pubmed.ncbi.nlm.nih.gov/22482077/,2026-09-19
shankhpushpi,Convolvulus pluricaulis,cns_depressant_interaction,Anxiolytic and barbiturate-potentiating effects; monitor with antiepileptic therapy.,Journal of Ethnopharmacology (Nahata et al.),https://pubmed.ncbi.nlm.nih.gov/18485648/,2026-09-19
guduchi,Tinospora cordifolia,autoimmune,Potent immunostimulant; may exacerbate autoimmune hepatitis and related conditions.,LiverTox / NIH - Guduchi,https://www.ncbi.nlm.nih.gov/books/NBK548561/,2026-09-19
guduchi,Tinospora cordifolia,hepatic,Multiple documented clinical cases of autoimmune-like drug-induced liver injury.,Hepatology Communications (Nagral et al. 2021),https://pubmed.ncbi.nlm.nih.gov/34558237/,2026-09-19
shallaki,Boswellia serrata,anticoagulant_interaction,May interact with NSAIDs and platelet inhibitors; monitor during concurrent use.,MSKCC - Boswellia,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/boswellia,2026-09-19
shallaki,Boswellia serrata,pregnancy,Traditional emmenagogue properties; avoid high doses during pregnancy.,Natural Medicines Comprehensive Database,https://naturalmedicines.therapeuticresearch.com,2026-09-19
kutki,Picrorhiza kurroa,autoimmune,Immune stimulant; caution in systemic lupus erythematosus and multiple sclerosis.,MSKCC - Picrorhiza,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/picrorhiza,2026-09-19
